Amount_Requested,Amount_Funded_By_Investors,Loan_Length,Debt_To_Income_Ratio,Home_Ownership,Monthly_Income,FICO_Range,Open_CREDIT_Lines,Revolving_CREDIT_Balance,Inquiries_in_the_Last_6_Months,Employment_Length,Loan_Purpose_credit_card,Loan_Purpose_debt_consolidation,Loan_Purpose_major_purchase,Loan_Purpose_other
5000.0,5000.0,60.0,12.59,1,4416.67,692.0,13.0,7686.0,0.0,0.5,0,0,1,0
18000.0,18000.0,60.0,4.93,1,5258.5,712.0,6.0,11596.0,0.0,10.0,0,1,0,0
7200.0,7200.0,60.0,25.16,2,3750.0,752.0,13.0,7283.0,0.0,6.0,0,1,0,0
7200.0,7200.0,36.0,17.27,2,3416.67,792.0,14.0,4838.0,0.0,10.0,0,1,0,0
22000.0,22000.0,60.0,18.28,2,6083.33,722.0,9.0,20181.0,0.0,8.0,0,1,0,0
9800.0,9800.0,60.0,12.89,2,2708.33,692.0,11.0,8111.0,0.0,3.0,1,0,0,0
6000.0,6000.0,36.0,8.81,3,2462.75,717.0,11.0,8644.0,0.0,2.0,0,0,1,0
3000.0,3000.0,36.0,10.05,1,9166.67,667.0,15.0,22698.0,2.0,6.0,0,0,1,0
17500.0,17375.0,36.0,21.63,1,3666.67,717.0,7.0,20010.0,0.0,6.0,0,1,0,0
25000.0,25000.0,36.0,13.45,1,6750.0,752.0,16.0,17193.0,0.0,5.0,0,0,1,0
10000.0,10000.0,36.0,8.8,3,4000.0,707.0,17.0,10750.0,0.0,5.0,0,0,0,0
4000.0,4000.0,36.0,10.56,1,1600.0,687.0,2.0,299.0,0.0,6.0,0,0,0,1
9500.0,9500.0,36.0,8.82,1,5416.67,687.0,4.0,7831.0,0.0,1.0,0,1,0,0
6500.0,6500.0,60.0,19.63,1,4100.0,667.0,11.0,11697.0,1.0,2.0,0,0,1,0
4000.0,4000.0,36.0,13.16,2,5166.67,722.0,9.0,7171.0,2.0,3.0,0,0,1,0
10000.0,10000.0,36.0,27.53,2,2916.67,667.0,14.0,11506.0,0.0,10.0,0,0,0,1
20000.0,20000.0,36.0,21.44,2,6250.0,702.0,9.0,14268.0,1.0,9.0,1,0,0,0
5600.0,5600.0,36.0,25.29,1,3333.33,677.0,8.0,17471.0,1.0,4.0,0,1,0,0
33125.0,31875.0,60.0,19.11,1,7666.67,662.0,18.0,12337.0,0.0,10.0,0,1,0,0
16000.0,16000.0,60.0,24.85,2,5416.67,682.0,10.0,9638.0,0.0,10.0,0,1,0,0
6700.0,6636.91,36.0,21.53,2,4700.0,727.0,11.0,9007.0,3.0,2.0,0,1,0,0
12000.0,12000.0,36.0,10.69,2,4416.67,677.0,18.0,13194.0,2.0,3.0,0,1,0,0
7000.0,7000.0,36.0,12.61,2,6250.0,722.0,13.0,19848.0,0.0,10.0,0,1,0,0
10000.0,10000.0,36.0,20.27,1,6666.67,717.0,14.0,23061.0,0.0,5.0,0,1,0,0
25000.0,25000.0,60.0,8.76,1,6250.0,682.0,5.0,17213.0,0.0,9.0,0,1,0,0
11000.0,11000.0,36.0,16.57,2,5000.0,697.0,17.0,8734.0,0.0,3.0,0,1,0,0
20000.0,18275.0,60.0,24.58,2,6000.0,712.0,14.0,12231.0,3.0,3.0,0,0,1,0
6400.0,6400.0,60.0,3.09,2,6250.0,697.0,5.0,241.0,0.0,3.0,0,0,0,0
5500.0,5500.0,36.0,3.58,1,11833.325,662.0,2.0,0.0,1.0,8.0,1,0,0,0
10000.0,10000.0,36.0,9.14,2,5416.67,702.0,6.0,8119.0,1.0,7.0,0,1,0,0
4000.0,4000.0,36.0,22.74,1,1666.67,667.0,7.0,278.0,0.0,3.0,0,0,1,0
4000.0,4000.0,36.0,22.15,1,2000.0,687.0,16.0,1625.0,3.0,0.5,0,0,1,0
12000.0,12000.0,36.0,16.29,2,6250.0,682.0,13.0,13528.0,1.0,7.0,0,1,0,0
33125.0,31875.0,60.0,15.3,2,9000.0,702.0,8.0,39260.25,1.0,10.0,0,1,0,0
9000.0,8800.0,36.0,18.93,1,3750.0,717.0,6.0,14576.0,0.0,0.5,1,0,0,0
7000.0,7000.0,36.0,23.02,2,6000.0,707.0,17.0,19634.0,2.0,6.0,0,1,0,0
27000.0,27000.0,60.0,17.82,2,7083.33,717.0,13.0,25137.0,0.0,8.0,0,1,0,0
10000.0,8851.08,36.0,8.4,2,4133.33,687.0,6.0,11735.0,2.0,10.0,0,1,0,0
4750.0,4750.0,36.0,32.49,2,3500.0,697.0,15.0,36512.0,0.0,10.0,1,0,0,0
18825.0,18825.0,36.0,13.08,1,4000.0,712.0,6.0,20694.0,1.0,4.0,1,0,0,0
17600.0,17600.0,36.0,17.35,2,7500.0,667.0,16.0,14555.0,0.0,7.0,0,1,0,0
19125.0,19125.0,36.0,9.1,1,4166.67,677.0,8.0,19761.0,3.0,10.0,0,1,0,0
19000.0,19000.0,60.0,16.06,2,5000.0,717.0,8.0,20918.0,0.0,10.0,1,0,0,0
3500.0,690.34,36.0,10.19,3,3750.0,657.0,8.0,9771.0,3.0,10.0,0,0,1,0
20000.0,19900.0,60.0,12.2,2,6666.67,702.0,12.0,20744.0,1.0,5.0,0,1,0,0
10000.0,10000.0,36.0,11.64,2,11833.325,717.0,14.0,38378.0,1.0,2.0,1,0,0,0
10000.0,7945.17,36.0,24.47,1,3583.33,682.0,16.0,10193.0,0.0,2.0,0,1,0,0
13750.0,13750.0,60.0,22.01,2,2916.67,667.0,7.0,4690.0,2.0,2.0,0,0,1,0
8450.0,8450.0,60.0,12.73,2,1375.0,777.0,2.0,0.0,1.0,2.0,0,0,1,0
24625.0,24625.0,60.0,20.96,1,5166.67,677.0,14.0,20694.0,0.0,8.0,0,1,0,0
30000.0,30000.0,60.0,20.28,1,11833.325,737.0,14.0,39059.0,1.0,1.0,0,0,1,0
24000.0,24000.0,60.0,21.59,2,10000.0,727.0,17.0,39260.25,0.0,5.0,0,0,0,0
25000.0,25000.0,60.0,10.53,2,6250.0,702.0,8.0,15159.0,1.0,9.0,0,1,0,0
15000.0,15000.0,36.0,26.75,2,7666.67,677.0,16.0,39260.25,1.0,5.0,0,1,0,0
15000.0,15000.0,36.0,22.39,2,7500.0,727.0,10.0,18756.0,0.0,10.0,0,0,1,0
7200.0,7200.0,36.0,2.18,2,3250.0,672.0,4.0,1301.0,1.0,4.0,0,0,0,0
6000.0,6000.0,36.0,12.4,1,1000.0,687.0,18.0,3622.0,2.0,1.0,0,1,0,0
33125.0,31875.0,60.0,20.56,2,5666.67,727.0,8.0,22290.0,0.0,10.0,0,1,0,0
14000.0,14000.0,36.0,14.67,1,7500.0,747.0,12.0,16648.0,0.0,10.0,0,1,0,0
21725.0,21725.0,36.0,29.11,2,9166.67,697.0,15.0,39260.25,2.0,10.0,1,0,0,0
10000.0,5334.01,36.0,8.83,1,4166.67,732.0,5.0,6381.0,0.0,1.0,0,0,1,0
7125.0,7125.0,36.0,4.95,1,2946.67,712.0,6.0,5015.0,1.0,6.0,0,1,0,0
15000.0,15000.0,36.0,14.02,1,3916.67,707.0,11.0,16355.0,1.0,7.0,0,1,0,0
9500.0,9500.0,60.0,12.13,1,3000.0,712.0,4.0,14227.0,1.0,3.0,0,1,0,0
22000.0,14550.0,60.0,15.83,2,5243.75,762.0,18.0,14115.0,0.0,2.0,0,1,0,0
12000.0,12000.0,36.0,19.49,1,6166.67,677.0,13.0,6499.0,0.0,6.0,0,1,0,0
20000.0,19975.0,36.0,6.81,1,5500.0,662.0,11.0,9028.0,1.0,3.0,0,1,0,0
20000.0,19975.0,60.0,20.91,3,4916.67,667.0,16.0,32137.0,2.0,10.0,0,1,0,0
20000.0,20000.0,60.0,23.94,2,7000.0,672.0,8.0,19537.0,1.0,10.0,0,1,0,0
8000.0,8000.0,36.0,14.92,1,5000.0,687.0,18.0,4786.0,1.0,2.0,0,1,0,0
12000.0,11975.0,60.0,10.71,2,3500.0,687.0,6.0,26874.0,0.0,10.0,0,1,0,0
33125.0,31875.0,36.0,25.56,1,9220.0,762.0,12.0,39260.25,1.0,10.0,0,1,0,0
8975.0,8975.0,36.0,21.51,2,9166.67,727.0,18.0,39260.25,3.0,10.0,0,1,0,0
6650.0,6650.0,60.0,17.12,2,3084.0,682.0,16.0,5646.0,2.0,3.0,0,1,0,0
10000.0,9975.0,60.0,5.7,2,2333.33,794.5,10.0,5547.0,2.0,0.5,0,1,0,0
15000.0,15000.0,36.0,9.73,2,5000.0,662.0,11.0,14596.0,0.0,8.0,1,0,0,0
10000.0,10000.0,36.0,7.13,1,2733.33,732.0,7.0,6112.0,2.0,3.0,1,0,0,0
12000.0,11975.0,36.0,11.91,1,7500.0,737.0,18.0,33702.0,1.0,10.0,0,1,0,0
5000.0,5000.0,36.0,16.97,2,6800.0,677.0,16.0,25524.0,0.0,10.0,0,1,0,0
17000.0,16975.0,36.0,26.35,3,7500.0,702.0,21.0,39130.0,3.0,10.0,0,1,0,0
6500.0,1196.59,36.0,5.43,2,3333.0,742.0,9.0,9830.0,3.0,10.0,0,1,0,0
2000.0,2000.0,36.0,16.73,1,1500.0,732.0,5.0,2925.0,0.0,4.0,0,0,0,1
4400.0,4398.89,36.0,21.51,1,4625.0,672.0,8.0,5707.0,1.0,6.0,0,1,0,0
5000.0,5000.0,36.0,3.33,1,9000.0,737.0,3.0,12297.0,0.0,10.0,1,0,0,0
15000.0,15000.0,36.0,14.36,1,9083.33,722.0,11.0,26902.0,0.0,3.0,0,0,0,1
20000.0,16755.89,36.0,25.4,2,6916.67,717.0,10.0,26938.0,0.0,10.0,0,1,0,0
17900.0,17900.0,60.0,7.36,1,5000.0,707.0,7.0,10217.0,0.0,10.0,0,1,0,0
6100.0,6100.0,36.0,9.51,1,6666.67,687.0,10.0,5665.0,2.0,2.0,1,0,0,0
30000.0,30000.0,60.0,16.89,2,11833.325,702.0,14.0,39260.25,0.0,10.0,0,1,0,0
30000.0,30000.0,60.0,16.32,1,11833.325,757.0,6.0,0.0,0.0,2.0,0,0,0,1
4000.0,4000.0,36.0,24.11,1,4583.33,707.0,17.0,11351.0,0.0,1.0,1,0,0,0
5000.0,4975.0,36.0,2.33,2,5416.67,727.0,8.0,2937.0,1.0,10.0,0,0,1,0
20000.0,19975.0,60.0,15.61,2,7000.0,707.0,6.0,20642.0,2.0,10.0,0,1,0,0
24925.0,24925.0,60.0,8.51,2,5250.0,712.0,7.0,15288.0,0.0,10.0,0,1,0,0
10000.0,10000.0,36.0,18.75,1,5250.0,687.0,22.0,3802.0,1.0,3.0,0,1,0,0
6000.0,6000.0,60.0,18.39,1,3083.0,697.0,3.0,1181.0,0.0,3.0,0,1,0,0
8000.0,8000.0,36.0,14.31,1,3500.0,692.0,7.0,5074.0,2.0,4.0,0,1,0,0
3600.0,3600.0,36.0,10.0,1,5750.0,672.0,8.0,10766.0,2.0,4.0,0,0,0,1
5000.0,527.49,36.0,13.28,1,4833.0,662.0,10.0,9816.0,0.0,4.0,0,1,0,0
18000.0,18000.0,60.0,17.0,1,7083.33,752.0,8.0,2234.0,2.0,6.0,0,1,0,0
10000.0,9975.0,36.0,5.6,1,4000.0,707.0,7.0,8528.0,0.0,0.5,0,0,1,0
25000.0,24950.0,36.0,20.48,2,7083.33,767.0,10.0,25429.0,0.0,6.0,0,1,0,0
12500.0,12500.0,36.0,14.37,1,4154.17,717.0,9.0,10465.0,0.0,4.0,0,1,0,0
10400.0,10325.0,36.0,13.02,2,6354.0,727.0,10.0,19656.0,3.0,10.0,0,1,0,0
